dataset_doi,interactions,ml_het,hierarchical,variant,any_het,year,deposit_year
doi:10.7910/DVN/2O7CN0,TRUE,FALSE,TRUE,as_published,TRUE,2018,2018
doi:10.7910/DVN/2OFTAW,FALSE,FALSE,TRUE,as_published,TRUE,2017,2017
doi:10.7910/DVN/2THQJN,FALSE,FALSE,TRUE,as_published,TRUE,2022,2022
doi:10.7910/DVN/2UFPMP,FALSE,FALSE,FALSE,as_published,FALSE,2018,2018
doi:10.7910/DVN/2UUQ25,TRUE,FALSE,TRUE,as_published,TRUE,2018,2018
doi:10.7910/DVN/2VF2J0,TRUE,FALSE,TRUE,as_published,TRUE,2018,2018
doi:10.7910/DVN/2VHCON,TRUE,FALSE,FALSE,as_published,TRUE,2022,2022
doi:10.7910/DVN/2WRQWZ,TRUE,FALSE,TRUE,as_published,TRUE,2024,2024
doi:10.7910/DVN/2XO7HR,TRUE,FALSE,FALSE,as_published,TRUE,2020,2020
doi:10.7910/DVN/2XP8YF,FALSE,FALSE,TRUE,as_published,TRUE,2016,2016
doi:10.7910/DVN/2YA2VU,TRUE,FALSE,TRUE,as_published,TRUE,2024,2024
doi:10.7910/DVN/2YQX37,FALSE,FALSE,FALSE,as_published,FALSE,2016,2016
doi:10.7910/DVN/33K3EF,TRUE,FALSE,TRUE,as_published,TRUE,2020,2020
doi:10.7910/DVN/361LGD,TRUE,TRUE,TRUE,as_published,TRUE,2024,2024
doi:10.7910/DVN/383K6K,FALSE,FALSE,FALSE,as_published,FALSE,2020,2020
doi:10.7910/DVN/38BFML,TRUE,FALSE,TRUE,as_published,TRUE,2019,2019
doi:10.7910/DVN/3ADWK8,TRUE,FALSE,TRUE,as_published,TRUE,2020,2020
doi:10.7910/DVN/3AOBP2,TRUE,FALSE,TRUE,as_published,TRUE,2022,2022
doi:10.7910/DVN/3DK6JA,TRUE,FALSE,TRUE,as_published,TRUE,2018,2018
doi:10.7910/DVN/3DRQOB,TRUE,FALSE,TRUE,as_published,TRUE,2021,2021
doi:10.7910/DVN/3DVZYY,FALSE,FALSE,TRUE,as_published,TRUE,2020,2020
doi:10.7910/DVN/3E7JXB,TRUE,FALSE,FALSE,as_published,TRUE,2021,2021
doi:10.7910/DVN/3EKRSI,FALSE,TRUE,FALSE,as_published,TRUE,2022,2022
doi:10.7910/DVN/3EONKV,FALSE,FALSE,TRUE,as_published,TRUE,2018,2018
doi:10.7910/DVN/3FGLKN,FALSE,FALSE,FALSE,as_published,FALSE,2024,2024
doi:10.7910/DVN/3FNP7Q,FALSE,FALSE,TRUE,as_published,TRUE,2024,2024
doi:10.7910/DVN/3GZMQW,TRUE,FALSE,FALSE,as_published,TRUE,2021,2021
doi:10.7910/DVN/3KOQWQ,FALSE,FALSE,TRUE,as_published,TRUE,2018,2018
doi:10.7910/DVN/3M9OD8,FALSE,FALSE,FALSE,as_published,FALSE,2015,2015
doi:10.7910/DVN/3QNR8Q,FALSE,FALSE,FALSE,as_published,FALSE,2018,2018
doi:10.7910/DVN/3RA7YG,FALSE,FALSE,FALSE,as_published,FALSE,2016,2016
doi:10.7910/DVN/3RNFFH,FALSE,FALSE,FALSE,as_published,FALSE,2019,2019
doi:10.7910/DVN/3RR5RJ,FALSE,FALSE,TRUE,as_published,TRUE,2023,2023
doi:10.7910/DVN/3RWCPB,TRUE,FALSE,TRUE,as_published,TRUE,2022,2022
doi:10.7910/DVN/3TTQL2,FALSE,FALSE,TRUE,as_published,TRUE,2018,2018
doi:10.7910/DVN/3TZAEB,FALSE,FALSE,FALSE,as_published,FALSE,2024,2024
doi:10.7910/DVN/3VFVS7,FALSE,FALSE,TRUE,as_published,TRUE,2023,2023
doi:10.7910/DVN/4DUB7X,TRUE,FALSE,TRUE,as_published,TRUE,2023,2023
doi:10.7910/DVN/4EZPKF,TRUE,FALSE,TRUE,as_published,TRUE,2022,2022
