"ID","choice_pre","choice_post","approval","democratic","knowledge","L1","L2","L3","M1","M2","M3","monthly_income","left_right","important_democracy","age_group","behavior","scenario","copartisan_support_pre","copartisan_support_post","outpartisan_support_pre","outpartisan_support_post","copartisan_shift","outpartisan_shift","switch_outpartisan","switch_abstain","inparty_strength","outparty_strength"
822,"Law and Justice (PiS)","Civic Coalition (KO)",2,5,"unknowledgeable",3,5,5,5,3,4,3,3,4,3,"democratic","lose",6,5,4,3,-1,-1,1,0,1,5
823,"Civic Coalition (KO)","Civic Coalition (KO)",4,4,"knowledgeable",5,2,6,4,5,5,5,4,7,5,"undemocratic","win",7,7,1,1,0,0,0,0,5,1
824,"Civic Coalition (KO)","Civic Coalition (KO)",4,5,"knowledgeable",1,5,7,2,4,3,1,3,7,4,"undemocratic","lose",7,7,1,1,0,0,0,0,5,2
825,"Civic Coalition (KO)","Abstain",4,5,"unknowledgeable",3,6,7,6,7,6,NA,3,4,3,"undemocratic","lose",4,4,4,4,0,0,0,1,3,2
826,"Civic Coalition (KO)","Civic Coalition (KO)",5,6,"knowledgeable",7,7,7,1,1,1,4,7,7,3,"democratic","win",7,4,1,1,-3,0,0,0,3,1
827,"Law and Justice (PiS)","Law and Justice (PiS)",5,5,"knowledgeable",6,6,6,6,5,6,3,6,6,5,"undemocratic","win",7,7,1,1,0,0,0,0,6,3
828,"Civic Coalition (KO)","Civic Coalition (KO)",7,7,"knowledgeable",7,7,7,6,6,6,5,3,7,5,"democratic","lose",5,6,1,1,1,0,0,0,4,1
829,"Law and Justice (PiS)","Law and Justice (PiS)",4,3,"unknowledgeable",6,5,3,6,5,6,4,6,6,2,"democratic","win",6,6,2,3,0,1,0,0,5,3
830,"Law and Justice (PiS)","Law and Justice (PiS)",4,6,"knowledgeable",7,4,1,1,1,1,5,6,6,2,"undemocratic","win",7,7,1,1,0,0,0,0,6,1
832,"Law and Justice (PiS)","Law and Justice (PiS)",3,3,"knowledgeable",5,5,6,5,5,4,4,4,3,2,"democratic","lose",4,3,6,5,-1,-1,0,0,6,5
833,"Law and Justice (PiS)","Abstain",4,3,"knowledgeable",6,4,7,4,7,3,2,4,3,2,"undemocratic","lose",6,4,4,4,-2,0,0,1,5,5
834,"Law and Justice (PiS)","Law and Justice (PiS)",4,4,"unknowledgeable",5,6,6,6,5,6,4,6,6,4,"democratic","win",5,4,3,5,-1,2,0,0,4,2
835,"Law and Justice (PiS)","Law and Justice (PiS)",2,3,"knowledgeable",4,5,3,2,4,3,4,5,6,3,"undemocratic","win",7,7,1,1,0,0,0,0,2,1
836,"Law and Justice (PiS)","Law and Justice (PiS)",5,5,"knowledgeable",5,6,7,5,6,6,4,6,6,5,"undemocratic","win",7,7,1,1,0,0,0,0,5,1
837,"Civic Coalition (KO)","Civic Coalition (KO)",5,5,"knowledgeable",6,3,6,6,6,6,2,2,6,4,"democratic","lose",7,7,1,1,0,0,0,0,6,1
839,"Law and Justice (PiS)","Law and Justice (PiS)",7,7,"knowledgeable",7,7,1,7,7,7,5,7,5,5,"undemocratic","lose",7,7,1,1,0,0,0,0,7,1
840,"Law and Justice (PiS)","Law and Justice (PiS)",4,5,"knowledgeable",5,6,6,6,6,4,3,5,6,1,"democratic","lose",4,4,2,7,0,5,0,0,7,6
841,"Civic Coalition (KO)","Civic Coalition (KO)",4,3,"knowledgeable",7,6,7,2,4,2,5,3,6,5,"democratic","win",7,7,1,1,0,0,0,0,6,1
842,"Law and Justice (PiS)","Law and Justice (PiS)",4,6,"knowledgeable",7,6,7,6,6,5,4,4,6,3,"undemocratic","win",6,7,2,1,1,-1,0,0,4,1
844,"Civic Coalition (KO)","Abstain",6,6,"knowledgeable",6,5,7,6,5,5,4,4,6,4,"democratic","lose",6,4,4,4,-2,0,0,1,6,4
845,"Law and Justice (PiS)","Abstain",3,3,"knowledgeable",7,6,7,3,3,3,3,6,6,2,"democratic","win",6,5,2,5,-1,3,0,1,4,3
846,"Law and Justice (PiS)","Law and Justice (PiS)",6,4,"knowledgeable",5,5,6,5,6,5,NA,6,5,3,"undemocratic","lose",7,7,1,1,0,0,0,0,6,1
847,"Law and Justice (PiS)","Law and Justice (PiS)",4,5,"knowledgeable",7,7,7,1,2,5,4,4,6,5,"undemocratic","lose",7,7,2,3,0,1,0,0,5,1
848,"Law and Justice (PiS)","Law and Justice (PiS)",5,5,"unknowledgeable",4,3,3,3,3,4,3,3,1,4,"democratic","win",5,7,7,1,2,-6,0,0,4,4
849,"Law and Justice (PiS)","Law and Justice (PiS)",4,4,"knowledgeable",4,5,4,4,4,5,NA,6,4,1,"undemocratic","win",7,7,7,7,0,0,0,0,5,5
850,"Law and Justice (PiS)","Law and Justice (PiS)",2,3,"knowledgeable",6,6,6,5,4,2,6,5,6,5,"democratic","win",7,6,2,3,-1,1,0,0,5,2
851,"Law and Justice (PiS)","Law and Justice (PiS)",4,4,"unknowledgeable",5,4,4,4,4,4,NA,4,5,2,"undemocratic","win",4,6,4,2,2,-2,0,0,5,2
852,"Law and Justice (PiS)","Law and Justice (PiS)",5,5,"knowledgeable",7,4,7,5,5,7,4,7,5,4,"undemocratic","lose",6,6,5,5,0,0,0,0,3,1
853,"Civic Coalition (KO)","Civic Coalition (KO)",5,5,"knowledgeable",5,4,4,5,5,1,2,2,6,5,"democratic","lose",6,6,1,1,0,0,0,0,4,2
854,"Law and Justice (PiS)","Law and Justice (PiS)",6,6,"knowledgeable",6,4,7,4,6,5,1,4,6,4,"democratic","lose",7,7,1,1,0,0,0,0,7,1
855,"Civic Coalition (KO)","Civic Coalition (KO)",1,1,"knowledgeable",4,6,1,1,1,2,NA,3,7,4,"undemocratic","win",1,7,1,1,6,0,0,0,1,1
856,"Law and Justice (PiS)","Abstain",4,4,"unknowledgeable",5,4,5,5,4,3,2,4,4,5,"democratic","win",6,4,2,4,-2,2,0,1,4,3
858,"Civic Coalition (KO)","Civic Coalition (KO)",2,2,"knowledgeable",5,5,6,5,4,5,4,3,6,5,"undemocratic","lose",6,6,1,2,0,1,0,0,4,2
